,AnoMes,Municipio,Estado,Regiao,QT_PagadorPF,QT_PagadorPJ,QT_RecebedorPF,QT_RecebedorPJ
1475,202310,CANSANÇÃO,BAHIA,NORDESTE,362119,11951,240434,44517
1476,202310,BOM RETIRO DO SUL,RIO GRANDE DO SUL,SUL,117996,9224,65335,32236
1477,202310,MIRANDA,MATO GROSSO DO SUL,CENTRO-OESTE,274824,18140,170455,50062
1478,202310,SÃO JOSÉ DOS CORDEIROS,PARAÍBA,NORDESTE,37225,562,26651,1901
1479,202310,CONCEIÇÃO DAS PEDRAS,MINAS GERAIS,SUDESTE,10983,535,7008,1679
1480,202310,MACAÚBAS,BAHIA,NORDESTE,335963,9291,192945,34873
1481,202310,ITATIBA DO SUL,RIO GRANDE DO SUL,SUL,18623,728,10472,1381
1482,202310,CAMPO FLORIDO,MINAS GERAIS,SUDESTE,96633,6036,60057,14829
1483,202310,TALISMÃ,TOCANTINS,NORTE,28524,1415,19928,2836
1484,202310,TUPARENDI,RIO GRANDE DO SUL,SUL,46109,4310,24195,11558
1485,202310,SERTÂNIA,PERNAMBUCO,NORDESTE,352731,10252,241808,42211
1486,202310,SANTO AMARO DAS BROTAS,SERGIPE,NORDESTE,177396,3155,115095,13730
1487,202310,GUAÍBA,RIO GRANDE DO SUL,SUL,1546818,110525,996063,263568
1488,202310,COXIXOLA,PARAÍBA,NORDESTE,13925,293,9081,1124
1489,202310,SÃO SEBASTIÃO DO CAÍ,RIO GRANDE DO SUL,SUL,273840,24530,168240,63480
1490,202310,GILBUÉS,PIAUÍ,NORDESTE,133532,8732,87998,27294
1491,202310,CHAPADINHA,MARANHÃO,NORDESTE,1005791,39313,695187,125065
1492,202310,MAURILÂNDIA DO TOCANTINS,TOCANTINS,NORTE,50188,2481,30478,3421
1493,202310,AMETISTA DO SUL,RIO GRANDE DO SUL,SUL,43636,6083,22643,15676
1494,202310,BOM JESUS DA SERRA,BAHIA,NORDESTE,80751,1622,45353,3416
1495,202310,TRINDADE,PERNAMBUCO,NORDESTE,415476,16813,296885,60707
1496,202310,CAMBUCI,RIO DE JANEIRO,SUDESTE,139444,4359,92314,15692
1497,202310,PANTANO GRANDE,RIO GRANDE DO SUL,SUL,97432,8129,57590,18623
1498,202310,SÃO JOÃO DO CARÚ,MARANHÃO,NORDESTE,144816,1850,92839,5180
1499,202310,MARAJÁ DO SENA,MARANHÃO,NORDESTE,62865,906,35627,4726
1500,202310,MURITIBA,BAHIA,NORDESTE,398011,11566,323876,28383
1501,202310,MARECHAL THAUMATURGO,ACRE,NORTE,69598,1241,40467,1685
1502,202310,SAUBARA,BAHIA,NORDESTE,180397,4924,141363,12371
1503,202310,SOBRADINHO,RIO GRANDE DO SUL,SUL,121720,10678,67057,37345
